NOM_ENT ,DISTRITO,VPH_PISODT,VPH_2YMASD,VPH_C_ELEC,VPH_AGUADV,VPH_AEASP,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_C_SERV,VPH_DSADMA,VPH_REFRI,VPH_LAVAD,VPH_HMICRO,VPH_TV,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_S_ELEC,VPH_AGUAFV,VPH_NODREN,VPH_NDEAED,VPH_SNBIEN,VPH_TELEF,VPH_CVJ,VPH_SINRTV,VPH_SINLTC,VPH_SINCIN
Ciudad de México,4,100288,73400,100729,100493,98153,79740,64426,100617,100416,100640,93813,81122,62017,97080,52549,64156,92677,72424,39,275,66,2,269,64156,18350,1798,3037,23995
Ciudad de México,5,102062,73847,103152,95442,73209,88116,73775,102427,95182,102528,94158,84705,68532,99335,60938,69318,96611,75860,224,7934,416,33,272,69318,20715,1677,2823,23818
Ciudad de México,6,114842,81458,115675,114915,112114,99502,37649,115343,114688,115217,108481,98944,83030,112085,70723,84558,107228,89556,91,851,296,4,264,84558,24586,1688,3033,22333
Ciudad de México,7,107435,76900,107808,107617,105983,93879,75139,107655,107526,107646,101822,90100,69144,104899,59505,73081,97881,79120,48,237,56,1,186,73081,19447,1345,3176,24258
Ciudad de México,8,105800,79474,105999,105979,105800,90568,86314,105841,105872,105816,100720,88588,70785,102164,59527,71494,97303,78528,53,72,62,2,218,71494,22293,1824,3078,23122
Ciudad de México,9,105028,76099,106703,104658,100367,89365,48234,106131,104422,106363,97070,82667,58624,102199,50862,65046,96640,72119,245,2286,271,18,361,65046,15773,2305,4314,29896
Durango,1,106873,85654,111354,111973,80776,93403,26391,98957,99820,98734,95324,77907,55408,100984,35801,27562,96439,45112,7317,6725,16143,3062,7370,27562,12067,12610,19171,66473
Durango,2,126080,96095,127320,126913,118364,87093,26685,122705,123877,122485,121344,104513,74249,122804,41731,33370,115114,55541,596,1001,3155,132,716,33370,12788,2904,9113,63753
Durango,3,114474,85245,115744,114940,90484,89941,17821,110601,110434,110050,109829,94688,64689,109552,31711,28380,102042,38375,769,1573,4880,184,636,28380,8208,4314,9082,68904
Durango,4,127011,103083,128749,128604,120895,112698,45922,127655,127841,127707,122775,104208,79617,124348,60517,48561,120855,76080,239,377,718,34,326,48561,21601,2243,4435,44620
Guanajuato,1,88366,63881,91108,87536,46319,74790,13982,81198,79841,80291,78095,63656,35676,83129,21179,15894,76588,36042,1460,5033,9621,528,1808,15894,4127,5935,13585,52363
Guanajuato,10,101042,73290,103445,102761,82765,88138,28139,100767,100249,100282,97594,85627,54630,98738,30001,39153,85180,43132,437,1121,2733,102,627,39153,6846,2939,10706,55013
Guanajuato,11,95481,79211,96368,93650,82772,82744,21817,95773,93065,95463,91262,83744,51706,93124,40414,35471,88984,55811,216,2934,834,42,267,35471,15068,1586,4712,35251
Guanajuato,12,120598,93285,122552,122049,112485,99539,53303,122393,121557,122114,118397,104085,77498,117676,58574,60283,112168,76348,248,750,356,32,330,60283,18245,2675,5733,39769
Guanajuato,13,100092,72811,102306,101276,53131,78893,12900,97627,97055,96969,93384,80152,41567,96442,22423,26202,82529,33532,444,1474,4449,69,853,26202,4468,3768,13497,63479
Guanajuato,14,103544,74095,105704,104893,64555,86890,19134,102186,101417,101523,98591,80177,51893,100256,25735,28029,89953,39860,624,1435,3807,166,820,28029,6199,3191,10605,60732
Guanajuato,15,91552,72590,92953,91871,79604,75058,48885,92137,91047,91852,88457,77886,50526,88939,36128,38815,82201,49047,152,1234,907,20,418,38815,10897,2143,6596,38457
Guanajuato,2,101496,76189,105929,102286,61124,82991,23831,98356,96285,97597,95363,76742,46843,99469,30287,26289,90821,44980,1032,4675,7544,293,1119,26289,6458,4540,13089,57282
Guanajuato,3,116544,94128,117713,114931,111846,97859,62073,117406,114497,116996,112735,103566,75607,113736,62875,54056,110423,80461,224,2990,506,60,255,54056,24720,1915,4353,31997
Guanajuato,4,93048,69099,94503,90788,64607,78029,11084,88222,85550,87405,86004,73491,49402,89186,32271,28080,82808,41448,887,4595,6832,318,765,28080,8211,3688,9694,48641
Guanajuato,5,102507,79662,104095,100285,97379,90005,21193,103570,99352,102711,96229,86807,50185,100007,37102,35876,94839,56015,283,4068,740,49,356,35876,13955,1822,5519,42561
Guanajuato,6,118155,92230,119748,114251,102721,96991,40723,119194,113788,118852,112981,100730,66829,115140,53291,43217,110703,70535,251,5725,824,41,340,43217,20271,2311,6052,42901
Guanajuato,7,101082,74051,102047,100699,67386,80381,15506,97207,96321,96507,93253,81760,43976,96120,25904,30341,85822,35072,585,1932,5053,139,797,30341,7224,3686,10608,60560
Guanajuato,8,107936,84045,110458,109086,77449,88040,30820,108380,107095,107759,105128,94307,61495,105959,37818,37963,97109,56690,342,1713,2339,87,479,37963,10610,2720,8869,49216
Guanajuato,9,102438,77857,104874,101945,63457,79213,49964,102092,99847,101830,97335,84662,50815,99461,36018,29548,91540,45377,347,3278,2378,71,680,29548,10449,3207,10803,53970
